country	year	comments	quotes	countryCode
Afghanistan	September 2017	Positive	“We are working very well together, we are working very hard. Our military is as you know over there right now and doing really an incredible job, more of leadership than fighting. We are leading a lot of wonderful Afghan troops who are fighting very hard ... and great progress is being made.” “People don’t realize you had 20 terrorist groups in Afghanistan. This is where the World Trade Center people, I’ll call them people, were trained. This is what happened. You had 20 groups, more than any place else. It’s really a hornet’s nest from that standpoint. We are hitting them very, very hard and very effectively. We really have no choice but to do it.”	AFG
Argentina	May 2018	Positive	Great talk with my friend President Mauricio Macri of Argentina this week. He is doing such a good job for Argentina. I support his vision for transforming his country’s economy and unleashing its potential!	ARG
Australia	January 2017	Negative	Referring to refugees held in Australia "I hate taking these people. I guarantee you they are bad. That is why they are in prison right now. They are not going to be wonderful people who go on to work for the local milk people."	AUS
Bahrain	May 2017	Positive	“Our countries have a wonderful relationship together, but there has been a little strain, but there won’t be strain with this administration. We’re going to have a very, very long-term relationship. I look forward to it very much - many of the same things in common.”	BHR
Bangladesh	May 2018	Positive	In a letter to Bangladeshi Prime Minister Sheikh Hasina, Trump wrote: “The United States will continue to pressure Myanmar to create necessary conditions for the safe and voluntary return of the Rohingya people to their homeland."	BGD
Belgium	June 2016	Positive	Belgium is a beautiful city.	BEL
Belize	January 2018	Negative	Administration removed this country from list of countries whose residents are eligible for seasonal visas.	BLZ
Cambodia	February 2018	Negative	Cut US aid to Cambodia citing "deep concern" over democracy setbacks	KHM
Canada	February 2018, June 2018	Negative	We lose a lot with Canada. People don't know it. Canada's very smooth. They have you believe that it's wonderful. And it is, for them. Not wonderful for us.,Called Prime Minister Justin Trudeau "very dishonest & weak" <br><br> Called Prime Minister Justin Trudeau "very dishonest & weak"	CAN
Central African Republic	September 2017	Negative	As you well know, too many people are suffering from conflict in Africa. In the Central African Republic, the Congo, Libya, Mali, Somalia, and South Sudan, among others, they’re going through some very, very tough and very dangerous times.	CAF
Chad	2017-18	Negative	Administration has fought to ban immigrants from this and other countries.	TCD
China	May 2016, Nov. 2017	Both	We can't continue to allow China to rape our country, and that's what they're doing. <br><br> Called China's President Xi Jinping "a very special man," adding “Perhaps now more than ever we have an opportunity to strengthen our relationship.”	CHN
Congo, Democratic Republic of the	September 2017	Negative	We're closely monitoring and deeply disturbed by the ongoing violence in South Sudan and in the Congo. Millions of lives are at risk, and we continue to provide humanitarian assistance. But real results in halting this catastrophe will require an African-led peace process and a sincere — really sincere commitment of all parties involved.	COD
Cuba	June 2017	Negative	“We do not want U.S. dollars to prop up a military monopoly that exploits and abuses the citizens of Cuba." “To the Cuban government, I say: Put an end to the abuse of dissidents,” Mr. Trump said. “Release the political prisoners. Stop jailing innocent people. Open yourselves to political and economic freedoms. Return the fugitives from American justice.”	CUB
Ecuador	July 2018	Negative	Administration threatened to cut aid over US opposition to breast-feeding resolution	ECU
